cid,community_name,county,initial_fhbm_date,initial_firm_date,current_map_date,regular_emergency_program_date,is_tribal,fips,duns,is_csc,csc_level,crs_member,crs_community_number,crs_entry_date,current_effective_date,current_class,discount_sfha,discount_non_sfha,status,nfip_standing,community_assistance_visit,community_assistance_call,current_nfip_ordinance,nfip_ordinance_adoption,nfip_administrator_name
360305,"GERMAN FLATTS, TOWN OF",HERKIMER COUNTY,03/29/74,05/15/85,05/15/85(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
361587#,"GERMAN, TOWN OF",CHENANGO COUNTY,07/29/77,09/24/84,11/26/10(M),09/24/84,No,,,,,No,,,,,,,,,,,,,
361317,"GERMANTOWN, TOWN OF",COLUMBIA COUNTY,11/15/74,05/11/79,05/11/79(M),05/11/79,No,,,,,No,,,,,,,,,,,,,
361109#,"GERRY, TOWN OF",CHAUTAUQUA COUNTY,11/08/74,01/06/84,01/06/84(M),01/06/84,No,,,,,No,,,,,,,,,,,,,
361318,"GHENT, TOWN OF",COLUMBIA COUNTY,10/18/74,01/01/88,01/01/88(L),01/01/88,No,,,Yes,,No,,,,,,,,,,,,,
361455A,"GILBERTSVILLE, VILLAGE OF",OTSEGO COUNTY,07/16/76,11/01/85,03/21/17(M),11/01/85,No,,,,,No,,,,,,,,,,,,,
361433#,"GILBOA, TOWN OF",SCHOHARIE COUNTY,12/06/74,05/01/88,04/02/04,05/01/88,No,,,,,No,,,,,,,,,,,,,
360465#,"GLEN COVE, CITY OF",NASSAU COUNTY,08/16/74,03/01/78,09/11/09,03/01/78,No,,,,,No,,,,,,,,,,,,,
360336,"GLEN PARK, VILLAGE OF",JEFFERSON COUNTY,03/29/74,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
361295A,"GLEN, TOWN OF",MONTGOMERY COUNTY,01/17/75,02/19/86,01/19/18,02/19/86,No,,,,,No,,,,,,,,,,,,,
360872#,"GLENS FALLS, CITY OF",WARREN COUNTY,05/31/74,06/05/85,06/05/85,06/05/85,No,,,Yes,,No,,,,,,,,,,,,,
360738#,"GLENVILLE, TOWN OF",SCHENECTADY COUNTY,08/02/74,06/01/84,01/08/14,06/01/84,No,,,Yes,,No,,,,,,,,,,,,,
360275#,"GLOVERSVILLE, CITY OF",FULTON COUNTY,06/21/74,09/30/83,09/30/83,09/30/83,No,,,,,No,,,,,,,,,,,,,
360601#,"GORHAM, TOWN OF",ONTARIO COUNTY,08/02/74,01/05/78,12/05/96,01/05/78,No,,,,,No,,,,,,,,,,,,,
360614#,"GOSHEN, TOWN OF",ORANGE COUNTY,03/22/74,04/30/86,08/03/09,04/30/86,No,,,,,No,,,,,,,,,,,,,
361571#,"GOSHEN, VILLAGE OF",ORANGE COUNTY,06/24/77,04/30/86,08/03/09,04/30/86,No,,,,,No,,,,,,,,,,,,,
361178,"GOUVERNEUR, TOWN OF",ST. LAWRENCE COUNTY,01/24/75,08/06/82,08/06/82(M),08/06/82,No,,,,,No,,,,,,,,,,,,,
360699#,"GOUVERNEUR, VILLAGE OF",ST. LAWRENCE COUNTY,03/24/75,05/28/76,03/03/97,11/02/84,No,,,,,No,,,,,,,,,,,,,
360075B,"GOWANDA, VILLAGE OF",ERIE COUNTY/CATTARAUGUS COUNTY,02/08/73,06/01/77,06/07/19,06/01/77,No,,,,,No,,,,,,,,,,,,,
361150#,"GRAFTON, TOWN OF",RENSSELAER COUNTY,11/01/74,10/13/78,10/13/78(M),10/13/78,No,,,,,No,,,,,,,,,,,,,
360650#,"GRANBY, TOWN OF",OSWEGO COUNTY,05/03/74,09/16/82,06/18/13,09/16/82,No,,,,,No,,,,,,,,,,,,,
360242B,"GRAND ISLAND, TOWN OF",ERIE COUNTY,08/02/74,01/16/80,06/07/19,01/16/80,No,,,,,No,,,,,,,,,,,,,
360680#,"GRAND VIEW-ON-HUDSON, VILLAGE OF",ROCKLAND COUNTY,10/18/74,10/15/81,03/03/14,10/15/81,No,,,,,No,,,,,,,,,,,,,
361363,"GRANGER, TOWN OF",ALLEGANY COUNTY,01/03/75,10/07/83,10/07/83(M),10/07/83,No,,,,,No,,,,,,,,,,,,,
361232,"GRANVILLE, TOWN OF",WASHINGTON COUNTY,11/22/74,08/05/85,08/05/85(M),08/05/85,No,,,,,No,,,,,,,,,,,,,
360886,"GRANVILLE, VILLAGE OF",WASHINGTON COUNTY,04/12/74,04/17/85,04/17/85(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
360466#,"GREAT NECK ESTATES, VILLAGE OF",NASSAU COUNTY,06/14/74,06/15/83,09/11/09,06/15/83,No,,,,,Yes,360466,10/1/2010,5/1/2017,10,0,0,R,,,,,,
361632#,"GREAT NECK PLAZA, VILLAGE OF",NASSAU COUNTY,,04/02/97,09/11/09,04/16/08,No,,,Yes,,No,,,,,,,,,,,,,
361519#,"GREAT NECK, VILLAGE OF",NASSAU COUNTY,07/26/74,11/17/82,09/11/09,11/17/82,No,,,,,No,,,,,,,,,,,,,
360076#,"GREAT VALLEY, TOWN OF",CATTARAUGUS COUNTY,06/28/74,07/17/78,07/17/78,07/17/78,No,,,,,No,,,,,,,,,,,,,
360417#,"GREECE, TOWN OF",MONROE COUNTY,01/23/74,03/18/80,08/28/08,03/18/80,No,,,,,Yes,360417,10/1/1992,5/1/2018,6,20,10,C,,,,,,
360009A,"GREEN ISLAND, VILLAGE OF",ALBANY COUNTY,02/01/74,06/04/80,03/16/15,06/04/80,No,,,Yes,,No,,,,,,,,,,,,,
360911#,"GREENBURGH, TOWN OF",WESTCHESTER COUNTY,06/21/74,08/15/80,09/28/07,08/15/80,No,,,Yes,,No,,,,,,,,,,,,,
361087#,"GREENE, TOWN OF",CHENANGO COUNTY,12/27/74,08/03/81,11/26/10,08/03/81,No,,,,,No,,,,,,,,,,,,,
360159#,"GREENE, VILLAGE OF",CHENANGO COUNTY,02/20/76,01/19/79,11/26/10,08/03/81,No,,,,,No,,,,,,,,,,,,,
360717#,"GREENFIELD, TOWN OF",SARATOGA COUNTY,06/28/74,06/05/85,08/16/95,06/05/85,No,,,,,No,,,,,,,,,,,,,
361319#,"GREENPORT, TOWN OF",COLUMBIA COUNTY,11/01/74,06/05/85,11/15/89,06/05/85,No,,,,,No,,,,,,,,,,,,,
361004#,"GREENPORT, VILLAGE OF",SUFFOLK COUNTY,05/24/74,06/15/83,09/25/09,06/15/83,No,,,Yes,,No,,,,,,,,,,,,,
360290#,"GREENVILLE, TOWN OF",GREENE COUNTY,07/26/74,02/01/88,05/16/08(M),02/01/88,No,,,,,No,,,,,,,,,,,,,
360615#,"GREENVILLE, TOWN OF",ORANGE COUNTY,07/08/77,03/04/85,08/03/09,03/04/85,No,,,,,No,,,,,,,,,,,,,
360887#,"GREENWICH, VILLAGE OF",WASHINGTON COUNTY,05/10/74,04/17/85,05/04/00,04/17/85,No,,,,,No,,,,,,,,,,,,,
361233#,"GREENWICH, TOWN OF",WASHINGTON COUNTY,09/24/76,07/03/86,03/16/92,07/03/86,No,,,,,No,,,,,,,,,,,,,
360616#,"GREENWOOD LAKE, VILLAGE OF",ORANGE COUNTY,05/03/74,06/15/79,08/03/09,06/15/79,No,,,,,No,,,,,,,,,,,,,
361210,"GREENWOOD, TOWN OF",STEUBEN COUNTY,01/03/75,09/03/82,09/03/82(M),09/03/82,No,,,,,No,,,,,,,,,,,,,
360365,"GREIG, TOWN OF",LEWIS COUNTY,06/28/74,05/15/85,05/15/85(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
361217,"GROTON, TOWN OF",TOMPKINS COUNTY,07/11/75,05/04/84,10/05/84(M),10/05/84,No,,,,,No,,,,,,,,,,,,,
360849#,"GROTON, VILLAGE OF",TOMPKINS COUNTY,04/12/74,11/05/86,11/05/86,11/05/86,No,,,,,No,,,,,,,,,,,,,
361005#,"GROVE, TOWN OF",ALLEGANY COUNTY,07/09/76,07/09/82,11/06/91,07/09/82,No,,,,,No,,,,,,,,,,,,,
360385#,"GROVELAND, TOWN OF",LIVINGSTON COUNTY,03/01/74,12/15/78,02/15/91,12/15/78,No,,,,,No,,,,,,,,,,,,,
360010A,"GUILDERLAND, TOWN OF",ALBANY COUNTY,01/17/75,01/06/83,03/16/15,01/06/83,No,,,Yes,,No,,,,,,,,,,,,,
361088#,"GUILFORD, TOWN OF",CHENANGO COUNTY,02/14/75,07/06/84,11/26/10,07/06/84,No,,,,,No,,,,,,,,,,,,,
360718#,"HADLEY, TOWN OF",SARATOGA COUNTY,09/13/74,09/15/83,08/16/95,09/15/83,No,,,,,No,,,,,,,,,,,,,
360450A,"HAGAMAN, VILLAGE OF",MONTGOMERY COUNTY,08/06/76,03/18/86,01/19/18(M),03/18/86,No,,,,,No,,,,,,,,,,,,,
360873#,"HAGUE, TOWN OF",WARREN COUNTY,09/20/74,05/15/85,09/29/96,05/15/85,No,,,,,No,,,,,,,,,,,,,
360291#,"HALCOTT, TOWN OF",GREENE COUNTY,02/14/75,11/04/83,05/16/08(M),11/04/83,No,,,,,No,,,,,,,,,,,,,
360719#,"HALFMOON, TOWN OF",SARATOGA COUNTY,06/21/74,03/01/84,08/16/95,03/01/84,No,,,,,No,,,,,,,,,,,,,
360244B,"HAMBURG, TOWN OF",ERIE COUNTY,08/30/74,11/19/80,06/07/19,11/19/80,No,,,,,No,,,,,,,,,,,,,
360243B,"HAMBURG, VILLAGE OF",ERIE COUNTY,10/29/76,01/20/82,06/07/19,01/20/82,No,,,,,No,,,,,,,,,,,,,
360200B,"HAMDEN, TOWN OF",DELAWARE COUNTY,06/28/74,03/04/86,06/16/16,03/04/86,No,,,,,No,,,,,,,,,,,,,
360401#,"HAMILTON, TOWN OF",MADISON COUNTY,05/31/74,05/01/85,09/27/02,05/01/85,No,,,Yes,,No,,,,,,,,,,,,,
360402#,"HAMILTON,VILLAGE",MADISON COUNTY,05/31/74,04/01/87,09/27/02,04/01/87,No,,,Yes,,No,,,,,,,,,,,,,
360418#,"HAMLIN, TOWN OF",MONROE COUNTY,01/23/74,02/01/78,08/28/08,02/01/78,No,,,,,No,,,,,,,,,,,,,
360700,"HAMMOND, TOWN OF",ST. LAWRENCE COUNTY,01/17/75,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
360775#,"HAMMONDSPORT, VILLAGE OF",STEUBEN COUNTY,12/28/73,04/17/78,05/16/95,04/17/78,No,,,,,No,,,,,,,,,,,,,
361442,"HAMPTON, TOWN OF",WASHINGTON COUNTY,01/03/75,04/17/85,04/17/85(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
360617#,"HAMPTONBURGH, TOWN OF",ORANGE COUNTY,04/05/74,07/03/86,08/03/09,07/03/86,No,,,,,No,,,,,,,,,,,,,
360201#,"HANCOCK, TOWN OF",DELAWARE COUNTY,06/28/74,09/28/90,06/19/12,09/28/90,No,,,,,No,,,,,,,,,,,,,
360202#,"HANCOCK, VILLAGE OF",DELAWARE COUNTY,05/13/74,12/10/82,06/19/12,12/10/82,No,,,,,No,,,,,,,,,,,,,
360651#,"HANNIBAL, TOWN OF",OSWEGO COUNTY,10/01/76,02/01/88,06/18/13,02/01/88,No,,,,,No,,,,,,,,,,,,,
360652#,"HANNIBAL, VILLAGE OF",OSWEGO COUNTY,05/31/74,04/01/87,06/18/13,04/01/87,No,,,,,No,,,,,,,,,,,,,
365336#,"HANOVER, TOWN OF",CHAUTAUQUA COUNTY,10/16/70,09/17/71,12/18/84,09/17/71,No,,,,,No,,,,,,,,,,,,,
361578B,"HARDENBURGH, TOWN OF",ULSTER COUNTY,11/29/74,07/20/84,11/18/16,07/20/84,No,,,,,No,,,,,,,,,,,,,
360180#,"HARFORD, TOWN OF",CORTLAND COUNTY,06/28/74,05/15/85,03/02/10(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
361611#,"HARMONY, TOWNSHIP OF",CHAUTAUQUA COUNTY,12/04/84,12/01/86,12/01/86(L),12/01/86,No,,,,,No,,,,,,,,,,,,,
360203B,"HARPERSFIELD, TOWN OF",DELAWARE COUNTY,07/26/74,06/05/85,06/16/16,06/05/85,No,,,,,No,,,,,,,,,,,,,
361124#,"HARRIETSTOWN, TOWN OF",FRANKLIN COUNTY,01/10/75,01/03/85,01/03/85,01/03/85,No,,,,,No,,,,,,,,,,,,,
360618#,"HARRIMAN, VILLAGE OF",ORANGE COUNTY,03/08/74,09/01/83,08/03/09,09/01/83,No,,,,,No,,,,,,,,,,,,,
360366,"HARRISBURG, TOWN OF",LEWIS COUNTY,08/30/74,,(NSFHA),07/30/84,No,,,,,No,,,,,,,,,,,,,
360912#,"HARRISON, TOWN OF",WESTCHESTER COUNTY,03/05/76,03/15/82,09/28/07,03/15/82,No,,,Yes,,Yes,360912,10/1/2014,10/1/2014,8,10,5,C,,,,,,
361451,"HARRISVILLE, VILLAGE OF",LEWIS COUNTY,11/15/74,09/24/84,09/24/84(M),09/24/84,No,,,Yes,,No,,,,,,,,,,,,,
361234,"HARTFORD, TOWN OF",WASHINGTON COUNTY,12/27/74,11/01/85,11/01/85(M),11/01/85,No,,,,,No,,,,,,,,,,,,,
360500#,"HARTLAND, TOWN OF",NIAGARA COUNTY,04/12/74,10/07/83,09/17/10(M),10/07/83,No,,,,,No,,,,,,,,,,,,,
361602#,"HARTSVILLE, TOWN OF",STEUBEN COUNTY,11/28/80,09/17/82,09/17/82(M),09/17/82,No,,,,,No,,,,,,,,,,,,,
361271A,"HARTWICK, TOWN OF",OTSEGO COUNTY,10/25/74,11/04/83,03/21/17(M),11/04/83,No,,,Yes,,No,,,,,,,,,,,,,
360653#,"HASTINGS, TOWN OF",OSWEGO COUNTY,11/01/74,01/19/83,06/18/13,01/19/83,No,,,,,No,,,,,,,,,,,,,
360913#,"HASTINGS-ON-HUDSON, VILLAGE OF",WESTCHESTER COUNTY,11/08/74,04/02/79,09/28/07,04/02/79,No,,,Yes,,No,,,,,,,,,,,,,
360681#,"HAVERSTRAW, TOWN OF",ROCKLAND COUNTY,03/29/74,01/06/82,03/03/14,01/06/82,No,,,,,No,,,,,,,,,,,,,
360682#,"HAVERSTRAW, VILLAGE OF",ROCKLAND COUNTY,04/12/74,09/02/81,03/03/14,09/02/81,No,,,Yes,,No,,,,,,,,,,,,,
361513#,"HEAD OF THE HARBOR, VILLAGE OF",SUFFOLK COUNTY,11/15/74,08/01/83,09/25/09,08/01/83,No,,,,,No,,,,,,,,,,,,,
361443,"HEBRON, TOWN OF",WASHINGTON COUNTY,01/24/75,04/17/85,06/15/94,04/17/85,No,,,,,No,,,,,,,,,,,,,
361204,"HECTOR, TOWN OF",SCHUYLER COUNTY,12/06/74,10/24/75,07/20/84(M),07/20/84,No,,,,,No,,,,,,,,,,,,,
360467#,"HEMPSTEAD, TOWN OF",NASSAU COUNTY,04/25/75,04/16/79,09/11/09,04/16/79,No,,,Yes,,No,,,,,,,,,,,,,
361647#,"HEMPSTEAD, VILLAGE OF",NASSAU COUNTY,,04/02/97,(NSFHA),03/17/08,No,,,,,No,,,,,,,,,,,,,
360338#,"HENDERSON, TOWN OF",JEFFERSON COUNTY,01/23/76,03/16/81,05/18/92,03/16/81,No,,,,,No,,,,,,,,,,,,,
360419#,"HENRIETTA, TOWN OF",MONROE COUNTY,01/16/74,11/05/80,08/28/08,11/05/80,No,,,,,No,,,,,,,,,,,,,
360306,"HERKIMER, TOWN OF",HERKIMER COUNTY,03/08/74,04/17/85,04/17/85(M),04/17/85,No,,,,,No,,,,,,,,,,,,,
360307#,"HERKIMER, VILLAGE OF",HERKIMER COUNTY,05/10/74,06/01/78,06/17/02,06/01/78,No,,,,,No,,,,,,,,,,,,,
361424,"HERMON, TOWN OF",ST. LAWRENCE COUNTY,02/07/75,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
361464#,"HERMON, VILLAGE OF",ST. LAWRENCE COUNTY,01/10/75,08/03/98,08/03/98,12/19/84,No,,,,,No,,,,,,,,,,,,,
360339#,"HERRINGS, VILLAGE OF",JEFFERSON COUNTY,08/09/74,12/18/85,12/18/85,12/18/85,No,,,,,No,,,,,,,,,,,,,
360701,"HEUVELTON, VILLAGE OF",ST. LAWRENCE COUNTY,05/24/74,04/30/86,04/30/86(M),04/30/86,No,,,,,No,,,,,,,,,,,,,
360468#,"HEWLETT BAY PARK, VILLAGE OF",NASSAU COUNTY,06/28/74,01/19/83,09/11/09,01/19/83,No,,,,,No,,,,,,,,,,,,,
360469#,"HEWLETT HARBOR, VILLAGE OF",NASSAU COUNTY,03/08/74,06/15/79,09/11/09,06/15/79,No,,,,,No,,,,,,,,,,,,,
360470#,"HEWLETT NECK, VILLAGE OF",NASSAU COUNTY,06/28/74,01/19/83,09/11/09,01/19/83,No,,,,,No,,,,,,,,,,,,,
361453#,"HIGHLAND FALLS, VILLAGE OF",ORANGE COUNTY,07/11/75,06/25/76,08/03/09,06/25/76,No,,,Yes,,No,,,,,,,,,,,,,
360822#,"HIGHLAND, TOWN OF",SULLIVAN COUNTY,06/21/74,03/23/84,02/18/11,03/23/84,No,,,Yes,,No,,,,,,,,,,,,,
361251#,"HIGHLANDS, TOWNSHIP OF",ORANGE COUNTY,11/01/74,11/30/79,08/03/09,11/30/79,No,,,,,No,,,,,,,,,,,,,
360683#,"HILLBURN, VILLAGE OF",ROCKLAND COUNTY,03/15/74,01/06/82,03/03/14,01/06/82,No,,,,,No,,,,,,,,,,,,,
361320,"HILLSDALE, TOWN OF",COLUMBIA COUNTY,01/03/75,05/15/85,05/15/85(M),05/15/85,No,,,Yes,,No,,,,,,,,,,,,,
360420#,"HILTON, VILLAGE OF",MONROE COUNTY,03/08/74,08/03/81,08/28/08,08/03/81,No,,,,,No,,,,,,,,,,,,,
360077#,"HINSDALE, TOWN OF",CATTARAUGUS COUNTY,05/31/74,01/17/79,01/17/79,01/17/79,No,,,,,No,,,,,,,,,,,,,
360204B,"HOBART, VILLAGE OF",DELAWARE COUNTY,05/24/74,05/15/85,06/16/16,05/15/85,No,,,,,No,,,,,,,,,,,,,
360530#,"HOLLAND PATENT, VILLAGE OF",ONEIDA COUNTY,05/17/74,04/17/85,09/27/13,04/17/85,No,,,,,No,,,,,,,,,,,,,
360245B,"HOLLAND, TOWN OF",ERIE COUNTY,06/14/74,05/01/79,06/07/19,05/01/79,No,,,,,No,,,,,,,,,,,,,
361454,"HOLLEY, VILLAGE OF",ORLEANS COUNTY,07/11/75,11/30/79,11/30/79(M),11/30/79,No,,,,,No,,,,,,,,,,,,,
360181#,"HOMER, TOWN OF",CORTLAND COUNTY,09/20/74,08/15/83,03/02/10,08/15/83,No,,,,,No,,,,,,,,,,,,,
360182#,"HOMER, VILLAGE OF",CORTLAND COUNTY,02/22/74,08/15/83,03/02/10,08/15/83,No,,,Yes,,No,,,,,,,,,,,,,
360421#,"HONEOYE FALLS, VILLAGE OF",MONROE COUNTY,11/09/73,09/30/77,08/28/08,09/30/77,No,,,,,No,,,,,,,,,,,,,
360674A,"HOOSICK FALLS, VILLAGE OF",RENSSELAER COUNTY,05/10/74,05/16/80,01/06/16,05/16/80,No,,,,,No,,,,,,,,,,,,,
361154A,"HOOSICK, TOWN OF",RENSSELAER COUNTY,11/01/74,08/01/87,01/06/16,08/01/87,No,,,,,No,,,,,,,,,,,,,
361403,"HOPE, TOWN OF",HAMILTON COUNTY,11/22/74,09/03/76,04/30/86(M),04/30/86,No,,,Yes (County Level),,No,,,,,,,,,,,,,
361300,"HOPEWELL, TOWN OF",ONTARIO COUNTY,10/18/74,02/27/84,02/27/84(M),02/27/84,No,,,,,No,,,,,,,,,,,,,
361179,"HOPKINTON, TOWN OF",ST. LAWRENCE COUNTY,11/15/74,11/12/82,11/12/82(M),11/12/82,No,,,,,No,,,,,,,,,,,,,
360874,"HORICON, TOWN OF",WARREN COUNTY,09/06/74,02/15/85,02/15/85(M),02/15/85,No,,,,,No,,,,,,,,,,,,,
361211,"HORNBY, TOWN OF",STEUBEN COUNTY,02/21/75,04/15/86,04/15/86,04/15/86,No,,,,,No,,,,,,,,,,,,,
360776#,"HORNELL, CITY OF",STEUBEN COUNTY,05/25/73,03/18/80,03/18/80,03/18/80,No,,,,,No,,,,,,,,,,,,,
360777#,"HORNELLSVILLE, TOWN OF",STEUBEN COUNTY,06/28/74,07/16/80,07/16/80,07/16/80,No,,,,,Yes,360777,10/1/1991,10/1/1992,10,0,0,R,,,,,,
360153#,"HORSEHEADS, TOWN OF",CHEMUNG COUNTY,10/18/74,09/04/86,09/29/96,09/04/86,No,,,,,Yes,360153,10/1/1991,10/1/1991,9,5,5,"C
",,,,,,
360154#,"HORSEHEADS, VILLAGE OF",CHEMUNG COUNTY,11/23/73,09/04/86,09/29/96,09/04/86,No,,,,,Yes,360154,10/1/1991,10/1/1991,9,5,5,"C
",,,,,,
360340#,"HOUNSFIELD, TOWN OF",JEFFERSON COUNTY,01/30/76,03/18/87,05/18/92,03/18/87,No,,,,,No,,,,,,,,,,,,,
361434,"HOWARD, TOWN OF",STEUBEN COUNTY,12/27/74,09/03/82,09/03/82(M),09/03/82,No,,,,,No,,,,,,,,,,,,,
361051,"HUDSON FALLS, VILLAGE OF",WASHINGTON COUNTY,05/31/74,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
361512#,"HUDSON, CITY OF",COLUMBIA COUNTY,11/15/74,06/19/85,09/29/89,06/19/85,No,,,Yes,,No,,,,,,,,,,,,,
361007#,"HUME, TOWN OF",ALLEGANY COUNTY,09/10/76,12/18/84,10/02/97,12/18/84,No,,,,,No,,,,,,,,,,,,,
360078#,"HUMPHREY, TOWN OF",CATTARAUGUS COUNTY,08/30/74,08/13/82,08/13/82(M),08/13/82,No,,,,,No,,,,,,,,,,,,,
360292B,"HUNTER, TOWN OF",GREENE COUNTY,07/09/76,02/02/83,06/02/15,02/02/83,No,,,Yes,,No,,,,,,,,,,,,,
360293B,"HUNTER, VILLAGE OF",GREENE COUNTY,08/16/74,12/01/82,06/02/15,12/01/82,No,,,,,No,,,,,,,,,,,,,
361543#,"HUNTINGTON BAY, VILLAGE OF",SUFFOLK COUNTY,02/07/75,04/18/83,09/25/09,04/18/83,No,,,,,No,,,,,,,,,,,,,
360796#,"HUNTINGTON, TOWN OF",SUFFOLK COUNTY,08/02/74,11/01/78,09/25/09,11/01/78,No,,,Yes,,No,,,,,,,,,,,,,
360857B,"HURLEY, TOWN OF",ULSTER COUNTY,05/31/74,07/03/85,11/18/16,07/03/85,No,,,Yes,,No,,,,,,,,,,,,,
360892#,"HURON, TOWN OF",WAYNE COUNTY,09/06/74,09/02/81,01/19/96,09/02/81,No,,,,,No,,,,,,,,,,,,,
361338#,"HYDE PARK, TOWN OF",DUTCHESS COUNTY,12/20/74,06/15/84,05/02/12,06/15/84,No,,,Yes,,No,,,,,,,,,,,,,
360308#,"ILION, VILLAGE OF",HERKIMER COUNTY,02/08/74,02/01/84,09/08/99,02/01/84,No,,,,,Yes,360308,10/1/2000,10/1/2017,10,0,0,R,,,,,,
361008#,"INDEPENDENCE, TOWN OF",ALLEGANY COUNTY,09/06/74,07/09/82,07/09/82(M),07/09/82,No,,,,,No,,,,,,,,,,,,,
361113,"INDIAN LAKE, TOWN OF",HAMILTON COUNTY,11/15/74,12/04/85,12/04/85(M),12/04/85,No,,,,,No,,,,,,,,,,,,,
361404,"INLET, TOWN OF",HAMILTON COUNTY,01/24/75,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
360112#,"IRA, TOWN OF",CAYUGA COUNTY,07/26/74,02/06/84,08/02/07,02/06/84,No,,,,,No,,,,,,,,,,,,,
360422#,"IRONDEQUOIT, TOWN OF",MONROE COUNTY,06/28/74,11/15/78,08/28/08,11/15/78,No,,,Yes,,No,,,,,,,,,,,,,
360914#,"IRVINGTON, VILLAGE OF",WESTCHESTER COUNTY,06/28/74,03/15/79,09/28/07,03/15/79,No,,,Yes,,No,,,,,,,,,,,,,
360079#,"ISCHUA, TOWN OF",CATTARAUGUS COUNTY,05/31/74,08/15/78,08/15/78,08/15/78,No,,,,,No,,,,,,,,,,,,,
360471#,"ISLAND PARK, VILLAGE OF",NASSAU COUNTY,01/04/74,02/14/76,09/11/09,02/14/76,No,,,,,No,,,,,,,,,,,,,
361623#,"ISLANDIA, VILLAGE OF",SUFFOLK COUNTY,,10/16/70,09/25/09(M),10/08/09,No,,,,,No,,,,,,,,,,,,,
365337#,"ISLIP, TOWN OF",SUFFOLK COUNTY,,10/16/70,09/25/09,11/17/72,No,,,Yes,,No,,,,,,,,,,,,,
360958,"ITALY, TOWN OF",YATES COUNTY,06/28/74,07/23/82,03/07/01,07/23/82,No,,,,,No,,,,,,,,,,,,,
360850#,"ITHACA, CITY OF",TOMPKINS COUNTY,06/28/74,09/30/81,09/30/81,09/30/81,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
360851#,"ITHACA, TOWN OF",TOMPKINS COUNTY,06/04/76,06/19/85,06/19/85,06/19/85,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
361444#,"JACKSON, TOWN OF",WASHINGTON COUNTY,01/17/75,04/17/85,03/16/92,04/17/85,No,,,,,No,,,,,,,,,,,,,
360141#,"JAMESTOWN, CITY OF",CHAUTAUQUA COUNTY,04/13/73,06/01/78,06/01/78,06/01/78,No,,,,,No,,,,,,,,,,,,,
361212,"JASPER, TOWN OF",STEUBEN COUNTY,07/02/76,07/23/82,07/23/82(M),07/23/82,No,,,,,No,,,,,,,,,,,,,
361244,"JAVA, TOWN OF",WYOMING COUNTY,10/25/74,12/23/83,12/23/83(M),12/23/83,No,,,,,No,,,,,,,,,,,,,
360265#,"JAY, TOWN OF",ESSEX COUNTY,11/08/74,08/15/83,06/17/02,08/15/83,No,,,,,No,,,,,,,,,,,,,
361196#,"JEFFERSON, TOWN OF",SCHOHARIE COUNTY,08/12/77,05/01/88,04/02/04,05/01/88,No,,,,,No,,,,,,,,,,,,,
361474#,"JEFFERSONVILLE, VILLAGE OF",SULLIVAN COUNTY,11/22/74,03/23/84,02/18/11,03/23/84,No,,,,,No,,,,,,,,,,,,,
360959,"JERUSALEM, TOWN OF",YATES COUNTY,05/31/74,01/20/84,01/20/84(M),01/20/84,No,,,,,No,,,,,,,,,,,,,
361114B,"JEWETT, TOWN OF",GREENE COUNTY,12/23/77,04/04/83,06/02/15,04/04/83,No,,,Yes,,No,,,,,,,,,,,,,
360875#,"JOHNSBURG, TOWN OF",WARREN COUNTY,10/25/74,05/01/85,05/01/85(M),05/01/85,No,,,,,No,,,,,,,,,,,,,
360047#,"JOHNSON CITY, VILLAGE OF",BROOME COUNTY,04/12/74,09/30/77,09/30/77,09/30/77,No,,,,,Yes,360047,10/1/1991,10/1/1991,9,5,5,C,,,,,,
360276#,"JOHNSTOWN, CITY OF",FULTON COUNTY,06/28/74,07/18/83,07/18/83,07/18/83,No,,,,,No,,,,,,,,,,,,,
361131,"JOHNSTOWN, TOWN OF",FULTON COUNTY,10/25/74,07/03/85,07/03/85(M),07/03/85,No,,,,,No,,,,,,,,,,,,,
360580A,"JORDAN, VILLAGE OF",ONONDAGA COUNTY,04/12/74,08/16/82,11/04/16,08/16/82,No,,,Yes,,No,,,,,,,,,,,,,
365376#,"KASER, VILLAGE OF",ROCKLAND COUNTY,,03/03/14,03/03/14,03/03/14,No,,,,,No,,,,,,,,,,,,,
361151#,"KEENE, TOWN OF",ESSEX COUNTY,11/01/74,06/05/85,06/05/85(M),06/05/85,No,,,,,No,,,,,,,,,,,,,
360266#,"KEESEVILLE, VILLAGE OF",ESSEX COUNTY,05/31/74,06/05/85,09/28/07(M),06/05/85,No,,,,,No,,,,,,,,,,,,,
360643#,"KENDALL, TOWN OF",ORLEANS COUNTY,04/12/74,05/01/78,05/01/78,05/01/78,No,,,,,No,,,,,,,,,,,,,
